Fonction = process_commune_square | Temps d'éxécution = 0.19235777854919434
Fonction = process_departement_square | Temps d'éxécution = 0.28452491760253906
Fonction = process_square | Temps d'éxécution = 0.2874889373779297
Fonction = process_commune_departement_square | Temps d'éxécution = 0.43561697006225586
Fonction = init_square | Temps d'éxécution = 7.641286849975586
Fonction = init_map | Temps d'éxécution = 7.287597179412842
##########  Exécution du 04/11/2021 18:30:09  ##########
Fonction = init_app | Temps d'éxécution = 0.0009829998016357422
##########  Exécution du 04/11/2021 18:30:10  ##########
Fonction = init_app | Temps d'éxécution = 0.0012600421905517578
Fonction = processing | Temps d'éxécution = 0.26195526123046875
Fonction = init_data | Temps d'éxécution = 1.004744052886963
##########  Exécution du 04/11/2021 18:30:12  ##########
Fonction = init_app | Temps d'éxécution = 0.0009489059448242188
Fonction = processing | Temps d'éxécution = 0.22229719161987305
Fonction = init_data | Temps d'éxécution = 1.0011210441589355
Fonction = init_sidebar | Temps d'éxécution = 0.34972190856933594
Fonction = process_commune | Temps d'éxécution = 0.2374420166015625
Fonction = process_departement | Temps d'éxécution = 0.17724394798278809
Fonction = process_commune_square | Temps d'éxécution = 0.21052908897399902
Fonction = process_region | Temps d'éxécution = 0.2039637565612793
Fonction = process_local_region | Temps d'éxécution = 0.18395495414733887
Fonction = init_charts | Temps d'éxécution = 4.967536926269531
Fonction = process_commune_square | Temps d'éxécution = 0.08439207077026367
Fonction = process_departement_square | Temps d'éxécution = 0.1479170322418213
Fonction = process_square | Temps d'éxécution = 0.1999223232269287
Fonction = process_commune_departement_square | Temps d'éxécution = 0.29746365547180176
Fonction = init_square | Temps d'éxécution = 5.6509480476379395
##########  Exécution du 04/11/2021 18:30:29  ##########
Fonction = init_app | Temps d'éxécution = 0.0007376670837402344
Fonction = processing | Temps d'éxécution = 0.2118678092956543
Fonction = init_data | Temps d'éxécution = 0.8461699485778809
Fonction = init_sidebar | Temps d'éxécution = 0.270050048828125
##########  Exécution du 04/11/2021 18:30:31  ##########
Fonction = init_app | Temps d'éxécution = 0.0013799667358398438
Fonction = processing | Temps d'éxécution = 0.2536931037902832
Fonction = init_data | Temps d'éxécution = 0.9365198612213135
Fonction = init_sidebar | Temps d'éxécution = 0.3002452850341797
##########  Exécution du 04/11/2021 18:30:32  ##########
Fonction = init_app | Temps d'éxécution = 0.0010979175567626953
Fonction = processing | Temps d'éxécution = 0.286268949508667
Fonction = init_data | Temps d'éxécution = 1.113152027130127
Fonction = init_sidebar | Temps d'éxécution = 0.258760929107666
Fonction = process_commune | Temps d'éxécution = 0.19150710105895996
Fonction = process_departement | Temps d'éxécution = 0.1352980136871338
Fonction = process_commune_square | Temps d'éxécution = 0.17577695846557617
Fonction = process_region | Temps d'éxécution = 0.15381908416748047
Fonction = process_local_region | Temps d'éxécution = 0.17240595817565918
Fonction = init_charts | Temps d'éxécution = 5.288786888122559
Fonction = process_commune_square | Temps d'éxécution = 0.09902262687683105
Fonction = process_departement_square | Temps d'éxécution = 0.11989092826843262
Fonction = process_square | Temps d'éxécution = 0.17397093772888184
Fonction = process_commune_departement_square | Temps d'éxécution = 0.21885180473327637
Fonction = init_square | Temps d'éxécution = 5.158149242401123
Fonction = init_map | Temps d'éxécution = 3.4179108142852783
##########  Exécution du 04/11/2021 18:30:50  ##########
Fonction = init_app | Temps d'éxécution = 0.0010380744934082031
##########  Exécution du 04/11/2021 18:30:51  ##########
Fonction = init_app | Temps d'éxécution = 0.0009579658508300781
Fonction = processing | Temps d'éxécution = 0.26906299591064453
Fonction = init_data | Temps d'éxécution = 1.1542370319366455
Fonction = init_sidebar | Temps d'éxécution = 0.1331019401550293
##########  Exécution du 04/11/2021 18:30:53  ##########
Fonction = init_app | Temps d'éxécution = 0.0016202926635742188
Fonction = processing | Temps d'éxécution = 0.2744300365447998
Fonction = init_data | Temps d'éxécution = 0.9564440250396729
Fonction = init_sidebar | Temps d'éxécution = 0.09561586380004883
Fonction = process_commune | Temps d'éxécution = 0.27362513542175293
Fonction = process_departement | Temps d'éxécution = 0.25631189346313477
Fonction = process_commune_square | Temps d'éxécution = 0.2642250061035156
Fonction = process_region | Temps d'éxécution = 0.25637197494506836
Fonction = process_local_region | Temps d'éxécution = 0.2587120532989502
Fonction = init_charts | Temps d'éxécution = 4.347758054733276
Fonction = process_commune_square | Temps d'éxécution = 0.2652573585510254
Fonction = process_departement_square | Temps d'éxécution = 0.25102901458740234
Fonction = process_square | Temps d'éxécution = 0.25569629669189453
Fonction = process_commune_departement_square | Temps d'éxécution = 0.2747929096221924
Fonction = init_square | Temps d'éxécution = 4.158804893493652
Fonction = init_map | Temps d'éxécution = 1.2425777912139893
##########  Exécution du 04/11/2021 18:31:47  ##########
Fonction = init_app | Temps d'éxécution = 0.3461339473724365
##########  Exécution du 04/11/2021 18:31:50  ##########
Fonction = init_app | Temps d'éxécution = 0.001275777816772461
##########  Exécution du 04/11/2021 18:31:50  ##########
Fonction = init_app | Temps d'éxécution = 0.001219034194946289
##########  Exécution du 04/11/2021 18:33:56  ##########
Fonction = init_app | Temps d'éxécution = 0.006868839263916016
Fonction = init_df | Temps d'éxécution = 267.9026870727539
Fonction = init_df | Temps d'éxécution = 272.3830518722534
Fonction = init_df | Temps d'éxécution = 281.26853132247925
##########  Exécution du 04/11/2021 18:37:04  ##########
Fonction = init_app | Temps d'éxécution = 0.0017271041870117188
Fonction = missing_rate | Temps d'éxécution = 2.9557979106903076
Fonction = cleaning | Temps d'éxécution = 7.007089138031006
Fonction = pre_processing | Temps d'éxécution = 2.851686954498291
##########  Exécution du 04/11/2021 18:37:31  ##########
Fonction = init_app | Temps d'éxécution = 0.0013761520385742188
